IATA_CODE,AIRPORT,STATE,JUL2015_TOTAL_mm,RAINED_IN_JULY2015
ABE,Lehigh Valley International Airport,PA,138,1
ABI,Abilene Regional Airport,TX,210.8,1
ABQ,Albuquerque International Sunport,NM,83.3,1
ABR,Aberdeen Regional Airport,SD,103.2,1
ABY,Southwest Georgia Regional Airport,GA,115,1
ACK,Nantucket Memorial Airport,MA,0,0
ACT,Waco Regional Airport,TX,0,0
ACV,Arcata Airport,CA,0.6,1
ACY,Atlantic City International Airport,NJ,167.5,1
ADK,Adak Airport,AK,0,0
ADQ,Kodiak Airport,AK,84.3,1
AEX,Alexandria International Airport,LA,39.9,1
AGS,Augusta Regional Airport?(Bush Field),GA,89.3,1
AKN,King Salmon Airport,AK,79.1,1
ALB,Albany International Airport,NY,0,0
ALO,Waterloo Regional Airport,IA,85,1
AMA,Rick Husband Amarillo International Airport,TX,167.7,1
ANC,Ted Stevens Anchorage International Airport,AK,12.3,1
APN,Alpena County Regional Airport,MI,41.9,1
ASE,Aspen-Pitkin County Airport,CO,41.6,1
ATL,Hartsfield-Jackson Atlanta International Airport,GA,86.5,1
ATW,Appleton International Airport,WI,0,0
AUS,Austin-Bergstrom International Airport,TX,0.3,1
AVL,Asheville Regional Airport,NC,67.6,1
AVP,Wilkes-Barre/Scranton International Airport,PA,20.2,1
AZO,Kalamazoo/Battle Creek International Airport,MI,100.6,1
BDL,Bradley International Airport,CT,78.4,1
BET,Bethel Airport,AK,53,1
BFL,Meadows Field,CA,1.1,1
BGM,Greater Binghamton Airport,NY,0,0
BGR,Bangor International Airport,ME,29.5,1
BHM,Birmingham-Shuttlesworth International Airport,AL,188.3,1
BIL,Billings Logan International Airport,MT,42.1,1
BIS,Bismarck Municipal Airport,ND,38.2,1
BJI,Bemidji Regional Airport,MN,107.5,1
BLI,Bellingham International Airport,WA,9.9,1
BMI,Central Illinois Regional Airport at Bloomington-Normal,IL,0,0
BNA,Nashville International Airport,TN,179.5,1
BOI,Boise Airport?(Boise Air Terminal),ID,24.7,1
BOS,Gen. Edward Lawrence Logan International Airport,MA,53.1,1
BPT,Jack Brooks Regional Airport?(Southeast Texas Regional),TX,0,0
BQK,Brunswick Golden Isles Airport,GA,0,0
BQN,Rafael Hern¨¢ndez Airport,PR,0,0
BRD,Brainerd Lakes Regional Airport,MN,40,1
BRO,Brownsville/South Padre Island International Airport,TX,60,1
BRW,Wiley Post-Will Rogers Memorial Airport,AK,5.7,1
BTM,Bert Mooney Airport,MT,47.3,1
BTR,Baton Rouge Metropolitan Airport,LA,0,0
BTV,Burlington International Airport,VT,118.7,1
BUF,Buffalo Niagara International Airport,NY,61.6,1
BUR,Bob Hope Airport?(Hollywood Burbank Airport),CA,7.7,1
BWI,Baltimore-Washington International Airport,MD,88.6,1
BZN,Bozeman Yellowstone International Airport?(Gallatin Field Airport),MT,30.1,1
CAE,Columbia Metropolitan Airport,SC,38.9,1
CAK,Akron-Canton Regional Airport,OH,98.1,1
CDC,Cedar City Regional Airport,UT,2.1,1
CDV,Merle K. (Mudhole) Smith Airport,AK,172.3,1
CEC,Del Norte County Airport?(Jack McNamara Field),CA,1.8,1
CHA,Chattanooga Metropolitan Airport?(Lovell Field),TN,159.5,1
CHO,Charlottesville-Albemarle Airport,VA,61.2,1
CHS,Charleston International Airport/Charleston AFB,SC,195.9,1
CID,The Eastern Iowa Airport,IA,141.8,1
CIU,Chippewa County International Airport,MI,0,0
CLD,McClellan-Palomar Airport,CA,13.1,1
CLE,Cleveland Hopkins International Airport,OH,69.4,1
CLL,Easterwood Airport,TX,6.5,1
CLT,Charlotte Douglas International Airport,NC,30.7,1
CMH,Port Columbus International Airport,OH,18,1
CMI,University of Illinois - Willard Airport,IL,31.6,1
CMX,Houghton County Memorial Airport,MI,63.8,1
CNY,Canyonlands Field,UT,22.7,1
COD,Yellowstone Regional Airport,WY,0,0
COS,City of Colorado Springs Municipal Airport,CO,79.7,1
COU,Columbia Regional Airport,MO,213.3,1
CPR,Natrona County International Airport,WY,14.5,1
CRP,Corpus Christi International Airport,TX,0,0
CRW,Yeager Airport,WV,198.3,1
